Variable,Obs,Mean,Std. Dev.,Min,Max,Obs,Mean,Std. Dev.,Min,Max,Obs,Mean,Std. Dev.,Min,Max
Area,3735,14.87,36.22,0,532,4820,15.97,39.17,0,538,14709,13.96,39.34,0,558
Growth,3735,1.65,2.92,0,21,4820,1.47,2.77,0,21,,,,,
BI,3735,58.87,13.98,26,103,4820,58.05,13.80,26,103,14709,56.84,13.93,21,103
ERC,3735,71.63,13.11,25,113,4820,70.49,13.42,21,113,14709,68.72,14.33,12,114
Precipitation,3735,0.40,1.37,0,13,4820,0.42,1.40,0,13,14709,0.52,1.56,0,13
Min Humidity,3735,16.53,8.14,1,57,4820,17.31,8.57,1,58,14709,18.16,9.20,0,58
Max Temperature,3735,26.86,5.88,4,45,4820,26.42,6.06,4,46,14709,26.50,6.51,4,46
Wind,3735,7.92,2.80,2,18,4820,7.87,2.77,2,18,14709,7.83,2.82,1,18
Wildland Engines,3735,5.19,17.49,0,318,4373,4.61,16.40,0,318,,,,,
Structure Engines,3735,1.18,10.22,0,325,4373,1.03,9.47,0,325,,,,,
Dozers,3735,0.65,2.83,0,65,4373,0.57,2.63,0,65,,,,,
Type 1 Crews,3735,1.48,5.46,0,81,4373,1.33,5.15,0,81,,,,,
Type 2 Crews,3735,0.66,1.84,0,27,4373,0.61,1.76,0,27,,,,,
LAT,3735,0.13,0.68,0,12,4373,0.12,0.66,0,12,,,,,
Aircraft,3735,2.23,3.88,0,31,4373,2.01,3.75,0,31,,,,,
Helicopters,3735,0.82,1.56,0,19,4373,0.74,1.49,0,19,,,,,